fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
FL-CQ-1571,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Euro Slot,Rounded,0.24028,0.2,16.76,UNDER,250.93,97.62,651.45,1000.0,8,288,1,8
FL-CQ-1571,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Euro Slot,Rounded,0.19643,0.15551,20.83,UNDER,459.16,167.44,928.49,1555.1,8,288,1,8
FL-CQ-1571,15000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Euro Slot,Rounded,0.17828,0.1371,23.1,UNDER,667.72,223.26,1165.54,2056.53,8,288,1,8
FL-CQ-1571,20000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Euro Slot,Rounded,0.17212,0.13123,23.76,UNDER,875.96,289.25,1459.3,2624.51,8,288,1,8
FL-CQ-1567,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.22128,0.19028,14.01,UNDER,250.93,97.62,602.84,951.38,8,288,1,8
FL-CQ-1567,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.18215,0.15069,17.27,UNDER,459.16,167.44,880.32,1506.92,8,288,1,8
FL-CQ-1567,15000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.16542,0.13391,19.05,UNDER,667.72,223.26,1117.7,2008.68,8,288,1,8
FL-CQ-1567,20000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.16021,0.12883,19.58,UNDER,875.96,289.25,1411.46,2576.67,8,288,1,8
FL-CQ-1567,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.15705,0.12582,19.88,UNDER,1084.52,355.34,1705.69,3145.55,8,288,1,8
FL-CQ-1565,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.24661,0.19028,22.84,UNDER,250.93,97.62,602.84,951.38,8,288,1,8
