est_no,fl_num,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,gusset_detail,quantity,lt_price,calc_price,error_pct,abs_error_pct,has_addcost,layout_around,lt_around,layout_match,layout_gear,layout_repeat,stock_length,spoilage,c_substrate,c_priming,c_clicks,c_hp_makeready,c_hp_running,c_laminate,c_thermo_labor,c_zipper,c_poucher_labor,c_sealer,c_packaging
6548,FL-DL-1428 Cost Only,3.0,5.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Rounded,None,18000,0.12614,0.12251027973625095,-2.8775331090447542,2.8775331090447542,False,12,12,Y,288,36.0,5322.0,0.098,361.15092,33.20928,185.5604,31.25,140.22108843537416,148.611528,33.262499999999996,319.04953595999996,686.8571428571429,16.60464,249.408
6548,FL-DL-1428 Cost Only,3.0,5.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Rounded,None,24000,0.11775,0.11448214665713151,-2.7752470003129384,2.7752470003129384,False,12,12,Y,288,36.0,6966.0,0.098,472.71275999999995,43.467839999999995,242.88119999999998,31.25,186.81972789115648,194.51858399999998,43.5375,417.60598788,760.5,21.733919999999998,332.544
6547,L-DL-1427 Cost Only,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,2500,0.38048,0.33436876182646497,-12.119227863103191,12.119227863103191,False,8,8,Y,272,34.0,1462.0,0.108,99.21132,9.12288,53.9736,31.25,29.621848739495796,40.824888,10.965,87.64570116,433.66666666666663,5.0,34.64
6547,L-DL-1427 Cost Only,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,5000,0.2708,0.22593177518441768,-16.568768395709863,16.568768395709863,False,8,8,Y,272,34.0,2433.8333333333335,0.103,165.15993,15.18712,89.8514,31.25,58.788515406162475,67.962362,18.253750000000004,145.90631259000003,460.4259259259259,7.59356,69.28
6547,L-DL-1427 Cost Only,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,10000,0.22083,0.18026635382139175,-18.368720816287755,18.368720816287755,False,8,8,Y,272,34.0,4369.0,0.098,296.48033999999996,27.26256,161.29319999999998,31.25,116.86674669867946,121.99995599999998,27.306250000000002,261.91796742,606.0952380952381,13.63128,138.56
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,5000,0.17409,0.17025666127815872,-2.201929301993953,2.201929301993953,False,12,12,Y,288,36.0,1743.0,0.108,118.27998000000001,10.876320000000002,60.7726,31.25,39.48412698412698,48.671532,13.0725,104.49142073999998,349.6666666666667,5.438160000000001,69.28
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,10000,0.1403,0.13467560622932426,-4.008833763845867,4.008833763845867,False,12,12,Y,288,36.0,3114.0,0.103,211.31604,19.43136,108.5748,31.25,78.34467120181405,86.95533599999999,23.355,186.68174652000002,452.57142857142856,9.71568,138.56
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,25000,0.11888,0.11227199649643174,-5.558549380525116,5.558549380525116,False,12,12,Y,288,36.0,7182.0,0.092,487.37052,44.81568,250.4124,31.25,193.65079365079364,200.550168,44.8875,430.55501075999996,754.5,22.40784,346.4
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,50000,0.11261,0.10645568993726351,-5.465154127285758,5.465154127285758,False,12,12,Y,288,36.0,14007.0,0.092,950.51502,87.40368000000001,488.37739999999997,31.25,387.10317460317464,391.131468,87.54374999999999,839.70816426,1323.25,43.701840000000004,692.8
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,100000,0.10928,0.10315653460070115,-5.603463945185626,5.603463945185626,False,12,12,Y,288,36.0,27534.0,0.087,1868.45724,171.81216,960.0188,31.25,770.5215419501134,768.859416,172.0875,1650.64072212,2450.5,85.90608,1385.6
6544,FL-DL-1420 Cost Only,3.0,6.0,0.0,WHT MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,250000,0.10708,0.1006124725750293,-6.039902339345068,6.039902339345068,False,12,12,Y,288,36.0,67671.0,0.077,4592.15406,422.26704,2359.4622,31.25,1908.191609977324,1889.6450039999997,422.94374999999997,4056.820959779999,5795.25,211.13352,3464.0
