estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,actual_price,calc_price,error_pct,direction,hp_total,thermo_total,poucher_total,packing_total,total_cost,labels_per_cycle,gear_teeth
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.25295,0.20912,17.33,UNDER,309.57,62.75,604.0,69.28,1045.6,8,288
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.20356,0.17188,15.56,UNDER,576.35,120.57,883.28,138.56,1718.77,8,288
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.17289,0.14942,13.58,UNDER,1377.54,301.48,1710.01,346.4,3735.42,8,288
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.15709,0.14347,8.67,UNDER,2712.29,602.86,3165.49,692.8,7173.44,8,288
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.14607,0.14037,3.9,UNDER,5382.21,1205.72,6063.18,1385.6,14036.72,8,288
4954,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.1415,0.1384,2.19,UNDER,13391.99,3014.3,14728.77,3464.0,34599.06,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.2336,0.21489,8.01,UNDER,309.57,120.05,575.54,69.28,1074.44,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.2,0.18066,9.67,UNDER,576.35,235.08,856.58,138.56,1806.57,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.17904,0.15985,10.72,UNDER,1377.54,587.79,1684.63,346.4,3996.36,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.1711,0.15441,9.75,UNDER,2712.29,1175.39,3140.19,692.8,7720.68,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.1679,0.15157,9.73,UNDER,5382.21,2350.79,6037.96,1385.6,15156.56,8,288
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.16593,0.14975,9.75,UNDER,13391.99,5876.97,14703.61,3464.0,37436.57,8,288
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.33958,0.2756,18.84,UNDER,429.64,173.27,705.83,69.28,1378.02,5,260
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.28819,0.23843,17.27,UNDER,817.05,339.56,1089.12,138.56,2384.29,5,260
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.25151,0.22109,12.09,UNDER,1979.28,848.9,2352.73,346.4,5527.31,5,260
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.23287,0.21505,7.65,UNDER,3916.33,1697.79,4445.43,692.8,10752.36,5,260
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.22557,0.21182,6.09,UNDER,7790.43,3395.58,8610.88,1385.6,21182.49,5,260
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.21861,0.20973,4.06,UNDER,19412.72,8488.96,21067.28,3464.0,52432.95,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.326,0.26072,20.03,UNDER,429.64,98.84,705.83,69.28,1303.59,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.27543,0.22354,18.84,UNDER,817.05,190.7,1089.12,138.56,2235.43,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.23926,0.20621,13.81,UNDER,1979.28,476.75,2352.73,346.4,5155.16,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.22083,0.20016,9.36,UNDER,3916.33,953.5,4445.43,692.8,10008.06,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.21367,0.19694,7.83,UNDER,7790.43,1906.99,8610.88,1385.6,19693.9,5,260
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.20681,0.19485,5.79,UNDER,19412.72,4767.49,21067.28,3464.0,48711.48,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.3185,0.25906,18.66,UNDER,429.64,90.57,705.83,69.28,1295.32,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.26838,0.22189,17.32,UNDER,817.05,174.16,1089.12,138.56,2218.89,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.2325,0.20455,12.02,UNDER,1979.28,435.4,2352.73,346.4,5113.81,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.21418,0.19851,7.32,UNDER,3916.33,870.8,4445.43,692.8,9925.36,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.20709,0.19529,5.7,UNDER,7790.43,1741.6,8610.88,1385.6,19528.5,5,260
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.20029,0.19319,3.54,UNDER,19412.72,4353.99,21067.28,3464.0,48297.99,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.34176,0.27739,18.83,UNDER,438.57,173.27,705.83,69.28,1386.95,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.29024,0.24018,17.25,UNDER,834.6,339.56,1089.12,138.56,2401.84,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.25348,0.22283,12.09,UNDER,2022.69,848.9,2352.73,346.4,5570.71,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.23486,0.21678,7.7,UNDER,4002.83,1697.79,4445.43,692.8,10838.86,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.22754,0.21355,6.15,UNDER,7963.12,3395.58,8610.88,1385.6,21355.18,5,260
4973,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.22054,0.21146,4.12,UNDER,19843.98,8488.96,21067.28,3464.0,52864.21,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,5000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.32818,0.2625,20.01,UNDER,438.57,98.84,705.83,69.28,1312.52,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,10000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.27748,0.2253,18.81,UNDER,834.6,190.7,1089.12,138.56,2252.98,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,25000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.24123,0.20794,13.8,UNDER,2022.69,476.75,2352.73,346.4,5198.57,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,50000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.22282,0.20189,9.39,UNDER,4002.83,953.5,4445.43,692.8,10094.56,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,100000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.21563,0.19867,7.87,UNDER,7963.12,1906.99,8610.88,1385.6,19866.59,5,260
4970,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,250000,6.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,0.20874,0.19657,5.83,UNDER,19843.98,4767.49,21067.28,3464.0,49142.75,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,5000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.32191,0.26085,18.97,UNDER,438.57,90.57,705.83,69.28,1304.25,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,10000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.27159,0.22364,17.65,UNDER,834.6,174.16,1089.12,138.56,2236.44,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,25000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.23558,0.20629,12.43,UNDER,2022.69,435.4,2352.73,346.4,5157.22,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,50000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.21726,0.20024,7.84,UNDER,4002.83,870.8,4445.43,692.8,10011.87,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,100000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.21014,0.19701,6.25,UNDER,7963.12,1741.6,8610.88,1385.6,19701.19,5,260
4968,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / MET PE,250000,6.5,5.0,2.0,MET PET,Gloss,Stand Up Pouch,CR Zipper,0.20329,0.19492,4.12,UNDER,19843.98,4353.99,21067.28,3464.0,48729.25,5,260
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,5000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.26585,0.21932,17.5,UNDER,303.28,120.05,604.0,69.28,1096.61,8,288
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,10000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.21541,0.1821,15.46,UNDER,564.1,235.08,883.28,138.56,1821.02,8,288
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,25000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.18409,0.15966,13.27,UNDER,1347.38,587.79,1710.01,346.4,3991.57,8,288
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,50000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.16804,0.15372,8.52,UNDER,2652.3,1175.39,3165.49,692.8,7685.99,8,288
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,100000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.15687,0.15062,3.98,UNDER,5262.56,2350.79,6063.18,1385.6,15062.13,8,288
4966,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,250000,4.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,0.15218,0.14865,2.32,UNDER,13093.32,5876.97,14728.77,3464.0,37163.06,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,5000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.25594,0.20901,18.34,UNDER,303.28,68.48,604.0,69.28,1045.04,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,10000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.2063,0.1718,16.72,UNDER,564.1,132.02,883.28,138.56,1717.96,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,25000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.17548,0.14936,14.89,UNDER,1347.38,330.11,1710.01,346.4,3733.89,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,50000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.15962,0.14341,10.15,UNDER,2652.3,660.11,3165.49,692.8,7170.71,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,100000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.14856,0.14032,5.55,UNDER,5262.56,1320.23,6063.18,1385.6,14031.57,8,288
4963,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,250000,4.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,0.14396,0.13835,3.9,UNDER,13093.32,3300.57,14728.77,3464.0,34586.65,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,5000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.25136,0.20786,17.3,UNDER,303.28,62.75,604.0,69.28,1039.31,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,10000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.2021,0.17065,15.56,UNDER,564.1,120.57,883.28,138.56,1706.51,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,25000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.17151,0.14821,13.58,UNDER,1347.38,301.48,1710.01,346.4,3705.26,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,50000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.15574,0.14227,8.65,UNDER,2652.3,602.86,3165.49,692.8,7113.45,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,100000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.14473,0.13917,3.84,UNDER,5262.56,1205.72,6063.18,1385.6,13917.06,8,288
4961,Master Pricing Grid (L) / Core / 4.5W x 5H x 2D / 1148 / CLR,250000,4.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,0.14017,0.1372,2.12,UNDER,13093.32,3014.3,14728.77,3464.0,34300.39,8,288
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,5000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.22,0.18693,15.03,UNDER,246.66,93.3,525.41,69.28,934.65,10,280
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,10000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.1744,0.15191,12.89,UNDER,451.16,186.59,742.8,138.56,1519.11,10,280
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,25000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.14633,0.13015,11.06,UNDER,1064.67,457.1,1385.59,346.4,3253.75,10,280
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,50000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.13257,0.12424,6.28,UNDER,2087.17,914.2,2517.81,692.8,6211.98,10,280
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,100000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.12324,0.12118,1.67,UNDER,4132.19,1828.39,4771.56,1385.6,12117.75,10,280
6015,Master Pricing Grid (L) / Mod / 3.5Wx 6H / 1192 / CLR PET / ,250000,3.5,6.0,0,CLR PET,Soft Touch,3 Side Seal,CR Zipper,0.1192,0.11925,0.05,OVER,10267.24,4570.98,11511.46,3464.0,29813.68,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,5000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.21237,0.17891,15.75,UNDER,246.66,53.22,525.41,69.28,894.57,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,10000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.16735,0.1439,14.02,UNDER,451.16,106.44,742.8,138.56,1438.96,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,25000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.13964,0.12213,12.54,UNDER,1064.67,256.71,1385.59,346.4,3053.36,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,50000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.12603,0.11622,7.78,UNDER,2087.17,513.42,2517.81,692.8,5811.2,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,100000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.11679,0.11316,3.11,UNDER,4132.19,1026.84,4771.56,1385.6,11316.2,10,280
6014,Master Pricing Grid (L) / Mod / 3.5W x 6H / 1192 / CLR PET /,250000,3.5,6.0,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.11281,0.11124,1.39,UNDER,10267.24,2567.11,11511.46,3464.0,27809.81,10,280
6013,Master Pricing Grid (L) / Mod / 3.5Wx6H / 1192 / CLR PET / G,5000,3.5,6.0,0,CLR PET,Gloss,3 Side Seal,CR Zipper,0.20884,0.1723,17.5,UNDER,246.66,48.77,496.8,69.28,861.5,10,280
6013,Master Pricing Grid (L) / Mod / 3.5Wx6H / 1192 / CLR PET / G,10000,3.5,6.0,0,CLR PET,Gloss,3 Side Seal,CR Zipper,0.1641,0.14019,14.57,UNDER,451.16,97.53,714.62,138.56,1401.88,10,280
6013,Master Pricing Grid (L) / Mod / 3.5Wx6H / 1192 / CLR PET / G,25000,3.5,6.0,0,CLR PET,Gloss,3 Side Seal,CR Zipper,0.13656,0.12013,12.03,UNDER,1064.67,234.45,1357.74,346.4,3003.25,10,280
6013,Master Pricing Grid (L) / Mod / 3.5Wx6H / 1192 / CLR PET / G,50000,3.5,6.0,0,CLR PET,Gloss,3 Side Seal,CR Zipper,0.12301,0.11478,6.69,UNDER,2087.17,468.89,2489.98,692.8,5738.85,10,280
