estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,actual_price,calc_price,error_pct,direction,hp_total,thermo_total,poucher_total,packing_total,total_cost,combined_spoilage,hp_speed,labels_per_cycle,gear_teeth,total_frames
4946,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / CLR P,25000,3.5,4.5,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.13438,0.12639,5.94,UNDER,1151.92,283.55,1359.1,365.25,3159.82,9.2,71.5,10,280,2851
4946,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / CLR P,50000,3.5,4.5,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.12072,0.11992,0.66,UNDER,2224.88,553.16,2487.58,730.5,5996.12,8.7,71.5,10,280,5556
4946,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / CLR P,100000,3.5,4.5,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.11147,0.11646,4.47,OVER,4360.89,1089.91,4733.95,1461.0,11645.75,8.2,71.5,10,280,10941
4946,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / CLR P,250000,3.5,4.5,0,CLR PET,Matte,3 Side Seal,CR Zipper,0.10748,0.11419,6.25,OVER,10749.09,2695.16,11451.94,3652.5,28548.68,7.7,71.5,10,280,27046
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.21565,0.19807,8.15,UNDER,294.93,121.51,500.88,73.05,990.37,10.8,71.5,10,280,675
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.17021,0.15952,6.28,UNDER,515.67,215.72,717.74,146.1,1595.23,9.8,71.5,10,280,1219
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.14213,0.1363,4.1,UNDER,1177.86,505.37,1359.1,365.25,3407.59,9.2,71.5,10,280,2851
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.1283,0.12958,1.0,OVER,2275.44,985.45,2487.58,730.5,6478.97,8.7,71.5,10,280,5556
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,100000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.11896,0.12597,5.89,OVER,4460.46,1941.17,4733.95,1461.0,12596.58,8.2,71.5,10,280,10941
4943,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,250000,3.5,4.5,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,0.1149,0.1236,7.57,OVER,10995.2,4799.48,11451.94,3652.5,30899.12,7.7,71.5,10,280,27046
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.20801,0.18757,9.83,UNDER,294.93,68.99,500.88,73.05,937.85,10.8,71.5,10,280,675
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.16316,0.15004,8.04,UNDER,515.67,120.88,717.74,146.1,1500.39,9.8,71.5,10,280,1219
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.13544,0.12743,5.91,UNDER,1177.86,283.55,1359.1,365.25,3185.77,9.2,71.5,10,280,2851
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.12176,0.12093,0.68,UNDER,2275.44,553.16,2487.58,730.5,6046.68,8.7,71.5,10,280,5556
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,100000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.1125,0.11745,4.4,OVER,4460.46,1089.91,4733.95,1461.0,11745.31,8.2,71.5,10,280,10941
4922,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,250000,3.5,4.5,0,MET PET,Matte,3 Side Seal,CR Zipper,0.1085,0.11518,6.16,OVER,10995.2,2695.16,11451.94,3652.5,28794.8,7.7,71.5,10,280,27046
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,5000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.20449,0.1864,8.84,UNDER,294.93,63.16,500.88,73.05,932.02,10.8,71.5,10,280,675
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,10000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.15991,0.14898,6.83,UNDER,515.67,110.34,717.74,146.1,1489.85,9.8,71.5,10,280,1219
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,25000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.13236,0.12644,4.47,UNDER,1177.86,258.9,1359.1,365.25,3161.12,9.2,71.5,10,280,2851
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,50000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.11874,0.11997,1.04,OVER,2275.44,505.13,2487.58,730.5,5998.65,8.7,71.5,10,280,5556
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,100000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.10952,0.11651,6.38,OVER,4460.46,995.33,4733.95,1461.0,11650.73,8.2,71.5,10,280,10941
4919,Master Pricing Grid (L) / Sampler / 3.5Wx4.5H / 1164 / MET P,250000,3.5,4.5,0,MET PET,Gloss,3 Side Seal,CR Zipper,0.10555,0.11424,8.24,OVER,10995.2,2461.35,11451.94,3652.5,28560.99,7.7,71.5,10,280,27046
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,5000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.19566,0.15525,20.65,UNDER,299.56,64.58,339.05,73.05,776.23,10.3,71.5,10,280,690
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,10000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.18259,0.12335,32.44,UNDER,521.11,111.89,454.4,146.1,1233.49,9.8,71.5,10,280,1236
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,25000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.17383,0.1041,40.11,UNDER,1183.31,260.45,793.51,365.25,2602.51,9.2,71.5,10,280,2868
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,50000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.16647,0.09874,40.69,UNDER,2280.88,506.68,1418.9,730.5,4936.96,8.7,71.5,10,280,5573
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,100000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.16051,0.09588,40.27,UNDER,4465.9,996.87,2663.78,1461.0,9587.55,8.2,71.5,10,280,10958
2201,Master Pricing Grid / 3.5Wx4.5H / Bottom Fill / MET PET / Gl,250000,3.5,9.0,0,MET PET,Gloss,Stand Up Pouch,None,0.15853,0.09401,40.7,UNDER,11000.64,2462.9,6386.66,3652.5,23502.7,7.7,71.5,10,280,27063
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,5000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.26099,0.24012,8.0,UNDER,364.93,155.93,606.67,73.05,1200.58,10.3,73.5,8,288,841
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,10000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.21262,0.19555,8.03,UNDER,646.28,277.58,885.54,146.1,1955.5,9.8,73.5,8,288,1524
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.18255,0.16847,7.72,UNDER,1486.63,649.98,1709.77,365.25,4211.63,9.2,73.5,8,288,3564
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.16692,0.16075,3.69,UNDER,2879.38,1267.18,3160.61,730.5,8037.67,8.7,73.5,8,288,6945
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.15596,0.15658,0.4,OVER,5652.1,2495.93,6048.74,1461.0,15657.78,8.2,73.5,8,288,13676
4958,Master Pricing Grid (M) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,CR Zipper,0.15141,0.15382,1.59,OVER,13945.16,6171.03,14686.28,3652.5,38454.96,7.7,73.5,8,288,33808
