vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
dazpak,FL-DL-0885,,"5.5"" W X 4.5"" H X 2"" G",CLR MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.5,4.5,2.0,flexographic,spreadsheet,11.0,24.75
dazpak,FL-CQ-0855,,"5"" W X 5.5"" H X 2"" G",White MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,5.5,2.0,flexographic,spreadsheet,13.0,27.5
dazpak,FL-CQ-0853,,"6"" W X 9"" H X 2"" G",White MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,6.0,9.0,2.0,flexographic,spreadsheet,20.0,54.0
ross,FL-DL-1625,FL-DL-1625 Glorious Cannabis,6W X 9.75H X 3G,WHT MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,6.0,9.75,3.0,digital,spreadsheet,22.5,58.5
ross,FL-DL-1623,FL-DL-1623 Choice Labs,5.5W X 8.5H X 2.625G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,5.5,8.5,2.625,digital,spreadsheet,19.625,46.75
ross,FL-DL-1618,,4.527W X 5.9056H X 2G,Wht MET PET / CLR Gusset,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,4.527,5.9056,2.0,digital,spreadsheet,13.8112,26.7346512
ross,FL-DL-1476,,4W X 7H,MET PET,Matte Laminate,None,Top,3 Side Seal,None,CR Zipper,Standard,Round,Rounded,4.0,7.0,0.0,digital,spreadsheet,14.0,28.0
ross,FL-DL-1610,,"4W X 6.63""H X 2G",WHT MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,4.0,6.63,2.0,digital,spreadsheet,15.26,26.52
ross,FL-DL-1603,,"2.5W X 6.8""H",MET PET,Matte Laminate,None,Top,2 Side Seal,None,CR Zipper,Standard,None,Straight,2.5,6.8,0.0,digital,spreadsheet,13.6,17.0
ross,FL-DL-1587,,3W X 7.5H X,MET PET,Soft Touch Laminate,None,Bottom,3 Side Seal,None,CR Zipper,Standard,None,Straight,3.0,7.5,0.0,digital,spreadsheet,15.0,22.5
ross,FL-DL-1480,,6W X 6H X 2.375G,Cure Clear PET Calyx (Material),Soft Touch Laminate,Flat Spot Gloss UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,6.0,6.0,2.375,digital,spreadsheet,14.375,36.0
