vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
ross,FL-DL-0923,,"4.5"" W X 6"" H X 2"" G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.5,6.0,2.0,digital,spreadsheet,14.0,27.0
ross,FL-DL-0922,,"5"" W X 6.5"" H X 2.5"" G",White MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,6.5,2.5,digital,spreadsheet,15.5,32.5
ross,FL-DL-0919,,"4.5"" W X 6.75"" H X 2.5"" G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,4.5,6.75,2.5,digital,spreadsheet,16.0,30.375
ross,FL-DL-0912,,"5""W X 10"" H X 2"" G",WHT MET PET,Soft Touch Laminate,None,,,None,No Zipper,None,None,Straight,5.0,10.0,2.0,digital,spreadsheet,22.0,50.0
ross,FL-DL-0911,,"5""W X 8"" H X 2"" G",WHT MET PET,Soft Touch Laminate,None,,,None,No Zipper,None,None,Straight,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-DL-0910,,"4.125""W X 6.5"" H X 2"" G",WHT MET PET,Soft Touch Laminate,None,,,None,No Zipper,None,None,Straight,4.125,6.5,2.0,digital,spreadsheet,15.0,26.8125
ross,FL-DL-0909,,"4.125""W X 5"" H X 2"" G",WHT MET PET,Soft Touch Laminate,None,,,None,No Zipper,None,None,Straight,4.125,5.0,2.0,digital,spreadsheet,12.0,20.625
ross,FL-DL-0908,,"8.75""W X 12"" H X 3.875"" G",WHT MET PET,Soft Touch Laminate,Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,8.75,12.0,3.875,digital,spreadsheet,27.875,105.0
ross,FL-DL-0907,,"6""W X 9"" H X 3"" G",WHT MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,No Zipper,Standard,None,Straight,6.0,9.0,3.0,digital,spreadsheet,21.0,54.0
ross,FL-DL-0896,,"5.5""W X 4.75"" H X 2"" G",MET PET With CLR gusset,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.5,4.75,2.0,digital,spreadsheet,11.5,26.125
ross,FL-DL-0890,,"6"" W X 9"" H X 3"" G",WHT MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,6.0,9.0,3.0,digital,spreadsheet,21.0,54.0
ross,FL-DL-0889,,"5"" W X 8"" H X 2"" G",CLR PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-CQ-0886,,"6"" W X 8"" H X 3"" G",MET PET,Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,6.0,8.0,3.0,digital,spreadsheet,19.0,48.0
ross,FL-DL-0876,,"4"" W X 7"" H X 2"" G",White MET PET,Matte Laminate,None,Top,3 Side Seal,None,Standard CR,Standard,Round,Straight,4.0,7.0,2.0,digital,spreadsheet,16.0,28.0
ross,FL-DL-0874,,"5"" W X 8"" H X 2"" G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-DL-0871,,"2.265"" W X 6.375"" H",CLR PET,Matte Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,2.265,6.375,0.0,digital,spreadsheet,12.75,14.439375
ross,FL-DL-0872,,"2.265"" W X 6.375"" H",MET PET,Matte Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,2.265,6.375,0.0,digital,spreadsheet,12.75,14.439375
ross,FL-DL-0861,,"5"" W X 6"" H X 2"" G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Hang Hole,Straight,5.0,6.0,2.0,digital,spreadsheet,14.0,30.0
ross,FL-CQ-0860,,"4.5"" W X 5.5"" H X 2"" G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Hang Hole,Straight,4.5,5.5,2.0,digital,spreadsheet,13.0,24.75
ross,FL-DL-0859,,"6"" W X 9"" H X 3.5"" G",MET PET,Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,6.0,9.0,3.5,digital,spreadsheet,21.5,54.0
ross,FL-CQ-0834,,"4.5"" W X 5"" H X 2"" G",HB Clr PET / EVOH (mat# 5309),Matte Laminate,None,Top,3 Side Seal,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.5,5.0,2.0,digital,spreadsheet,12.0,22.5
ross,FL-DL-0830,,"5"" W X 8.12"" H X 2"" G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.12,2.0,digital,spreadsheet,18.24,40.599999999999994
ross,FL-DL-0823,,"5"" W X 8"" H X 2"" G",METPET,Matte Laminate,None,Top,3 Side Seal,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-DL-0828,,"4"" W X 6"" H X 2"" G",MET PET,Gloss,None,Top,3 Side Seal,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.0,6.0,2.0,digital,spreadsheet,14.0,24.0
ross,FL-DL-0818,,3.93702 x 6.88976,METPET,Gloss,None,Top,3 Side Seal,None,Standard CR,Standard,None,Straight,3.93702,6.88976,0.0,digital,spreadsheet,13.77952,27.1251229152
ross,FL-CQ-0789,,"4"" x 5.03"" x 2.36""",MET PET,Matte Laminate,None,Top,Stand Up,None,CR Zipper,Standard,None,Rounded,4.0,5.03,2.36,digital,spreadsheet,12.42,20.12
ross,FL-DL-0799,,"4.5"" x 6"" x 2"" (Calyx Standard Size)",MET PET,Matte Laminate,None,Top,Stand Up,None,CR Zipper,Standard,None,Rounded,4.5,6.0,2.0,digital,spreadsheet,14.0,27.0
ross,FL-DL-0793,,"3.25"" W x 5.626"" x 2""",Clear PET,Gloss,None,Top,Stand Up,None,No Zipper,Standard,None,Straight,3.25,5.626,2.0,digital,spreadsheet,13.252,18.2845
ross,FL-CQ-0771,,"5"" (w) x 7"" (h) x 2"" (g)",METPET,Gloss,Holographic Foil (reference image attached) (Foil over the logo (See attached for image)),Top,Stand Up,None,Standard CR,Standard,None,Straight,5.0,7.0,2.0,digital,spreadsheet,16.0,35.0
ross,FL-DL-0766,,"4.0"" (w) x 6.75"" (h) x 2"" (g)",METPET,Matte Laminate,Holographic Foil (artwork attached),Top,Stand Up,None,Standard CR,Standard,Round,Straight,4.0,6.75,2.0,digital,spreadsheet,15.5,27.0
ross,FL-DL-0763,,"4.5"" (w) x 6.5"" (h) x 2"" (g)",Clear PET,Gloss,"Holographic Foil (assume 50% coverage, I do not have artwork yet)",Top,Stand Up,None,Standard CR,Standard,None,Straight,4.5,6.5,2.0,digital,spreadsheet,15.0,29.25
ross,FL-DL-0762,,"4.5"" (w) x 6.5"" (h) x 2"" (g)",MET PET,Gloss,None,Top,Stand Up,None,CR Zipper,Standard,None,Rounded,4.5,6.5,2.0,digital,spreadsheet,15.0,29.25
